metal_type,pouring_temperature,mold_material,cooling_rate,section_thickness,pouring_speed,porosity,shrinkage,cold_shut
Steel,1589.8,ceramic,low,31.69,1.95,1,1,0
Cast Iron,1210.32,die,high,21.75,2.27,0,0,0
Steel,1580.14,die,medium,17.6,2.65,1,1,0
Aluminum,700.53,sand,high,17.32,2.97,0,0,1
Steel,1582.84,sand,medium,12.86,1.12,1,1,0
Steel,1555.29,ceramic,high,19.64,0.95,0,1,0
Aluminum,720.84,die,medium,13.97,1.65,0,0,1
Aluminum,701.88,sand,low,33.52,0.59,0,1,1
Cast Iron,1318.06,ceramic,high,30.61,2.48,1,1,1
Cast Iron,1200.88,die,low,22.22,2.71,1,1,0
Aluminum,740.74,ceramic,medium,19.66,2.22,1,1,1
Aluminum,713.68,sand,high,15.69,1.17,0,0,1
Cast Iron,1237.74,sand,high,29.1,0.81,0,1,1
Steel,1597.33,die,low,46.35,1.46,1,1,0
Aluminum,736.2,ceramic,high,35.86,2.58,0,0,1
Cast Iron,1304.4,die,high,38.5,1.37,0,0,0
Steel,1491.09,sand,low,42.55,0.59,1,1,1
Aluminum,747.37,sand,high,20.82,1.19,0,0,1
Steel,1561.45,ceramic,low,7.83,2.97,1,1,0
Cast Iron,1271.04,ceramic,low,33.02,2.19,1,1,1
Aluminum,742.18,ceramic,low,13.49,2.75,1,1,1
Steel,1474.33,die,low,30.61,2.44,1,1,0
Aluminum,663.9,ceramic,low,38.28,1.85,0,1,1
Steel,1534.56,ceramic,medium,40.26,0.87,0,1,0
Cast Iron,1161.34,sand,medium,18.58,1.37,0,0,0
Cast Iron,1282.8,sand,low,28.06,1.96,1,1,1
Aluminum,674.07,ceramic,medium,32.94,2.68,1,1,1
Steel,1467.85,ceramic,medium,41.88,1.17,1,1,1
Aluminum,690.95,sand,high,39.26,0.8,0,0,1
Aluminum,696.59,ceramic,low,49.46,1.9,1,1,1
Steel,1475.57,die,medium,5.36,0.94,0,1,0
Steel,1456.23,die,high,24.69,2.03,1,1,0
Steel,1512.11,die,high,16.52,1.16,1,1,0
Cast Iron,1301.91,ceramic,low,10.4,1.08,1,1,0
Aluminum,737.42,sand,low,46.02,1.5,1,1,1
Aluminum,659.75,ceramic,high,49.91,1.98,0,0,1
Cast Iron,1254.94,ceramic,low,13.13,1.86,1,1,0
Steel,1489.51,sand,low,6.73,1.11,1,1,0
Cast Iron,1224.93,sand,high,17.38,2.73,0,0,0
Cast Iron,1336.69,sand,high,42.57,0.77,0,1,1
Cast Iron,1220.41,die,low,18.23,0.6,1,1,0
Aluminum,686.53,ceramic,medium,7.56,2.01,0,0,1
Cast Iron,1191.88,sand,low,7.36,0.81,0,1,0
Aluminum,746.0,ceramic,medium,24.23,1.76,0,1,1
Aluminum,695.65,die,high,46.93,2.88,0,0,1
Aluminum,707.04,die,medium,17.87,2.25,0,0,1
Steel,1517.98,sand,high,24.22,2.04,1,1,0
Aluminum,675.29,sand,low,9.59,1.94,1,1,1
Aluminum,731.04,ceramic,low,27.21,0.95,0,1,1
Steel,1454.27,sand,high,36.34,1.58,0,1,0
Aluminum,719.02,ceramic,high,17.2,1.36,0,0,1
Cast Iron,1268.85,sand,high,18.35,2.88,1,0,0
Cast Iron,1178.86,ceramic,low,42.89,1.11,1,1,1
Aluminum,666.59,ceramic,low,5.47,1.68,0,1,1
Steel,1548.88,ceramic,medium,33.64,2.85,1,1,1
Cast Iron,1212.43,ceramic,high,22.72,2.47,0,0,0
Steel,1489.86,die,medium,18.43,2.91,1,1,0
Steel,1458.87,ceramic,low,34.59,2.02,1,1,0
Cast Iron,1303.3,sand,medium,42.56,1.33,1,1,1
Steel,1582.4,die,medium,30.13,2.57,1,1,0
Cast Iron,1313.97,die,low,6.4,1.23,1,1,0
Steel,1519.91,ceramic,low,25.76,0.91,1,1,0
Cast Iron,1256.79,die,high,25.82,2.27,0,0,0
Aluminum,674.23,ceramic,medium,29.47,2.1,0,0,1
Cast Iron,1184.57,sand,low,35.19,2.7,1,1,0
Cast Iron,1314.6,ceramic,low,5.87,2.9,1,1,0
Cast Iron,1309.67,die,medium,27.59,2.64,1,1,0
Cast Iron,1305.47,sand,low,31.47,0.65,1,1,1
Steel,1519.5,ceramic,high,20.45,2.16,0,0,0
Aluminum,736.45,sand,high,35.08,2.46,0,0,1
Cast Iron,1335.25,sand,medium,15.27,2.95,1,1,0
Steel,1499.25,die,high,19.28,1.44,1,1,0
Aluminum,672.47,sand,low,48.32,0.92,0,1,1
Aluminum,696.43,die,low,20.66,2.63,1,1,1
Aluminum,667.93,sand,low,20.59,1.29,0,1,1
Aluminum,738.4,ceramic,low,31.81,2.0,1,1,1
Cast Iron,1217.6,sand,medium,48.69,1.47,1,1,1
Cast Iron,1265.23,ceramic,high,49.24,1.51,0,0,1
Steel,1539.21,ceramic,high,31.08,2.33,1,0,0
Steel,1527.25,sand,low,5.05,1.4,1,1,0
Steel,1473.48,ceramic,medium,45.53,2.23,1,1,1
Aluminum,749.1,sand,low,30.66,0.54,0,1,1
Aluminum,667.26,sand,low,21.47,1.31,0,1,1
Cast Iron,1300.3,ceramic,medium,42.31,1.3,0,1,1
Aluminum,729.14,ceramic,medium,22.99,2.37,0,0,1
Aluminum,664.52,die,low,6.53,1.29,0,1,1
Aluminum,743.32,ceramic,high,41.95,2.08,0,0,1
Steel,1523.16,die,low,29.56,2.22,1,1,0
Steel,1544.33,ceramic,high,20.22,2.15,1,0,0
Cast Iron,1278.44,sand,high,16.29,2.01,0,0,0
Aluminum,700.5,ceramic,medium,31.72,1.53,0,1,1
Aluminum,664.2,sand,medium,14.36,1.43,0,0,1
Cast Iron,1300.35,sand,low,19.57,1.91,1,1,0
Aluminum,708.18,sand,high,33.64,0.66,0,0,1
Aluminum,661.87,die,high,44.67,2.69,0,0,1
Steel,1555.05,ceramic,low,28.98,2.56,1,1,0
Cast Iron,1290.55,sand,low,39.16,1.37,1,1,1
Cast Iron,1259.7,sand,low,39.34,1.92,1,1,1
Cast Iron,1168.11,die,medium,34.9,2.83,1,1,1
Cast Iron,1220.53,ceramic,low,16.06,1.18,1,1,0
Steel,1457.64,ceramic,low,44.01,2.36,1,1,0
Steel,1521.64,die,high,24.63,0.71,0,1,0
Aluminum,740.64,die,low,6.99,1.81,0,1,0
Aluminum,650.23,ceramic,high,16.01,2.71,0,0,1
Aluminum,676.66,die,high,39.45,1.88,0,0,1
Aluminum,729.99,ceramic,medium,8.11,2.04,0,0,1
Steel,1451.48,ceramic,low,11.63,2.77,1,1,0
Cast Iron,1152.03,sand,low,36.24,2.29,1,1,1
Steel,1541.62,sand,high,45.17,2.24,1,1,1
Aluminum,728.92,ceramic,medium,33.52,1.97,0,0,1
Steel,1566.48,ceramic,medium,15.0,2.08,1,1,0
Cast Iron,1305.92,ceramic,low,7.4,2.51,1,1,0
Cast Iron,1222.2,ceramic,high,32.68,2.95,1,0,1
Steel,1582.41,ceramic,low,7.13,2.49,1,1,0
Steel,1451.93,ceramic,low,32.57,2.27,1,1,1
Steel,1496.83,die,low,15.15,0.84,1,1,0
Aluminum,683.72,ceramic,low,45.71,2.54,1,1,1
Steel,1474.84,die,high,26.38,2.34,1,1,0
Steel,1500.43,die,medium,15.08,2.43,1,1,0
Steel,1537.88,ceramic,low,43.39,1.08,1,1,1
Cast Iron,1254.06,ceramic,low,16.43,2.76,1,1,0
Cast Iron,1213.89,die,low,18.8,0.74,1,1,0
Aluminum,724.93,die,low,42.54,1.13,0,1,1
Aluminum,721.48,ceramic,medium,18.9,2.16,0,0,1
Cast Iron,1206.14,ceramic,medium,23.46,2.18,1,1,1
Cast Iron,1214.65,die,medium,20.64,1.28,0,1,0
Cast Iron,1207.5,die,medium,10.24,2.25,1,1,0
Steel,1469.33,die,low,6.75,1.47,1,1,0
Steel,1562.92,sand,high,37.6,0.5,0,0,0
Cast Iron,1159.26,die,medium,34.03,0.91,0,1,1
Steel,1472.59,sand,medium,17.71,2.71,1,1,0
Steel,1465.8,ceramic,low,18.3,1.06,1,1,0
Aluminum,732.53,ceramic,low,47.53,0.78,0,1,1
Cast Iron,1158.8,die,low,49.45,2.21,1,1,1
Cast Iron,1282.93,ceramic,low,26.3,1.6,1,1,1
Steel,1456.67,ceramic,high,41.11,2.49,1,1,1
Cast Iron,1307.29,ceramic,high,38.15,2.65,1,0,1
Aluminum,741.27,ceramic,medium,18.38,2.61,0,0,1
Aluminum,698.68,sand,high,7.64,1.28,0,0,1
Aluminum,730.45,sand,medium,11.42,1.76,0,0,1
Cast Iron,1291.28,die,medium,42.72,2.13,1,1,1
Cast Iron,1309.13,die,high,37.9,1.3,0,0,0
Cast Iron,1303.36,die,medium,34.9,0.6,0,1,0
Cast Iron,1191.07,ceramic,low,10.88,1.74,1,1,0
Cast Iron,1249.91,ceramic,medium,33.8,0.53,0,1,1
Aluminum,746.04,sand,low,39.75,2.88,1,1,1
Steel,1501.53,sand,high,43.73,2.49,1,1,1
Aluminum,747.05,die,high,5.6,0.98,0,0,0
Cast Iron,1266.63,sand,medium,35.8,1.22,0,1,0
Aluminum,696.16,sand,low,5.86,2.96,1,1,1
Cast Iron,1281.55,sand,medium,36.81,1.43,0,1,1
Cast Iron,1313.17,sand,high,33.6,2.46,1,1,1
Aluminum,689.42,sand,medium,11.68,1.62,0,0,1
Cast Iron,1156.59,die,medium,39.48,2.66,1,1,1
Steel,1556.32,die,low,8.08,2.26,1,1,0
Cast Iron,1341.23,sand,high,42.19,0.56,0,1,1
Steel,1543.75,die,medium,16.79,1.24,1,1,0
Steel,1478.26,ceramic,low,36.0,1.89,1,1,0
Cast Iron,1199.65,sand,medium,46.57,2.82,1,1,1
Aluminum,740.98,ceramic,low,20.29,0.76,0,1,1
Steel,1452.03,die,low,27.63,2.0,1,1,0
Aluminum,704.87,die,medium,25.84,1.26,0,1,1
Steel,1473.8,ceramic,high,12.09,2.72,1,0,0
Cast Iron,1206.55,die,high,31.56,2.41,1,0,0
Cast Iron,1211.4,sand,low,38.44,1.42,1,1,1
Steel,1482.89,ceramic,high,46.26,0.92,0,1,1
Cast Iron,1308.47,sand,low,43.29,0.53,1,1,1
Steel,1499.83,ceramic,high,27.95,2.05,1,1,0
Cast Iron,1219.1,die,medium,37.36,1.52,1,1,1
Aluminum,695.3,ceramic,high,41.04,1.29,0,0,1
Cast Iron,1330.46,ceramic,low,27.21,2.96,1,1,1
Aluminum,718.82,sand,low,10.19,1.67,1,1,1
Cast Iron,1162.35,die,high,24.71,2.37,0,0,0
Aluminum,653.93,sand,medium,42.91,0.94,0,0,1
Cast Iron,1263.28,die,low,31.85,0.53,1,1,0
Aluminum,738.71,sand,low,37.6,1.54,0,1,1
Steel,1498.49,ceramic,low,13.34,2.16,1,1,0
Steel,1487.17,sand,low,48.4,1.77,1,1,1
Aluminum,724.82,die,low,23.18,2.73,1,1,1
Cast Iron,1270.42,die,medium,34.41,1.58,1,1,0
Aluminum,706.5,ceramic,high,5.85,1.28,0,0,0
Cast Iron,1179.86,die,medium,10.73,2.79,1,1,0
Steel,1476.39,sand,medium,40.19,1.52,1,1,0
Cast Iron,1206.36,ceramic,low,48.56,1.17,1,1,1
Steel,1481.03,die,medium,19.4,0.74,1,1,0
Cast Iron,1344.29,die,low,6.67,2.48,1,1,0
Cast Iron,1153.72,sand,medium,21.24,2.56,1,1,1
Cast Iron,1275.21,sand,low,5.79,0.58,0,1,0
Aluminum,701.76,ceramic,low,13.66,1.4,0,1,1
Aluminum,682.33,die,medium,38.86,2.37,0,0,1
Steel,1583.14,sand,medium,47.17,2.87,1,1,1
Steel,1550.52,ceramic,high,8.94,1.44,1,0,0
Aluminum,749.84,die,high,30.11,2.68,0,0,1
Steel,1475.3,die,high,16.42,1.48,0,0,0
Aluminum,658.79,ceramic,medium,11.26,0.95,0,0,1
Cast Iron,1177.88,ceramic,medium,14.85,0.51,0,1,1
Steel,1490.39,sand,low,31.0,1.33,1,1,1
Steel,1512.52,die,high,7.93,1.45,0,0,0
Aluminum,736.26,die,low,24.54,2.86,1,1,1
Steel,1492.54,die,low,11.09,1.02,1,1,0
Steel,1587.29,ceramic,low,17.27,1.46,1,1,0
Cast Iron,1242.58,sand,low,13.58,0.56,1,1,0
Steel,1547.06,die,high,44.73,2.41,1,1,1
Cast Iron,1202.88,ceramic,low,36.86,2.79,1,1,1
Aluminum,665.6,die,medium,44.08,1.09,0,1,1
Steel,1580.42,sand,medium,22.26,1.57,1,1,0
Cast Iron,1171.9,die,medium,19.1,0.81,0,1,0
Aluminum,727.4,sand,high,22.13,1.64,0,0,1
Steel,1537.15,sand,low,5.83,0.83,1,1,0
Aluminum,736.11,die,high,37.61,1.81,0,0,1
Steel,1557.67,die,low,20.74,2.34,1,1,0
Aluminum,678.17,sand,high,19.1,1.88,0,0,1
Aluminum,707.44,ceramic,high,31.92,1.11,0,0,1
Cast Iron,1152.61,sand,low,24.63,1.38,1,1,1
Aluminum,697.52,die,high,49.14,2.1,0,0,1
Steel,1462.9,die,low,21.03,1.97,1,1,0
Steel,1514.34,ceramic,medium,32.63,0.84,1,1,0
Cast Iron,1171.92,sand,medium,19.02,2.61,1,1,0
Steel,1593.32,sand,medium,49.58,1.69,1,1,1
Steel,1528.46,sand,high,25.03,0.91,0,1,0
Steel,1586.98,die,medium,33.54,0.81,1,1,0
Aluminum,652.24,sand,low,10.7,2.91,1,1,1
Aluminum,713.77,ceramic,medium,37.99,1.2,0,1,1
Steel,1496.04,die,medium,17.11,2.77,1,1,0
Cast Iron,1236.37,die,high,25.19,1.53,0,0,0
Aluminum,737.31,sand,low,44.74,1.46,0,1,1
Cast Iron,1346.0,ceramic,high,48.67,2.25,1,1,1
Steel,1486.97,die,high,24.11,0.52,0,0,0
Steel,1592.24,die,low,42.57,1.35,1,1,0
Aluminum,718.87,sand,high,7.4,1.26,0,0,1
Steel,1592.71,sand,low,43.14,2.67,1,1,1
Aluminum,706.24,ceramic,medium,33.33,1.82,0,0,1
Steel,1594.11,sand,low,26.99,1.41,1,1,0
Steel,1583.87,ceramic,low,45.05,1.17,1,1,1
Aluminum,662.86,die,low,43.04,1.98,0,1,1
Aluminum,681.08,ceramic,high,18.36,0.88,0,0,1
Aluminum,674.31,ceramic,low,40.62,1.12,0,1,1
Steel,1535.81,ceramic,low,9.48,1.23,1,1,0
Steel,1570.42,die,low,42.02,2.02,1,1,0
Cast Iron,1301.88,sand,medium,35.4,1.43,1,1,1
Aluminum,722.67,die,low,8.95,1.76,0,0,0
Steel,1506.29,sand,high,35.74,2.13,1,1,0
Steel,1470.95,ceramic,low,31.12,2.89,1,1,0
Aluminum,671.06,ceramic,low,31.75,2.41,1,1,1
Cast Iron,1298.34,ceramic,medium,18.09,1.51,1,1,0
Aluminum,664.75,ceramic,low,16.99,2.37,1,1,1
Cast Iron,1194.59,ceramic,high,39.31,2.87,0,0,1
Steel,1513.68,sand,low,16.56,1.75,1,1,0
Cast Iron,1164.42,sand,high,25.08,1.53,0,0,1
Steel,1481.9,ceramic,medium,36.27,0.7,0,1,0
Aluminum,664.98,die,low,8.58,2.73,1,1,1
Aluminum,745.13,die,medium,31.75,1.12,0,1,1
Aluminum,669.15,ceramic,low,31.52,0.66,0,1,1
Cast Iron,1322.35,sand,high,35.79,1.84,1,1,1
Steel,1467.22,die,medium,21.65,2.61,1,1,0
Aluminum,736.97,die,low,25.2,1.52,0,1,1
Aluminum,709.94,die,high,19.85,2.46,0,0,1
Steel,1577.46,ceramic,medium,41.37,2.59,1,1,0
Aluminum,736.73,die,low,10.88,1.64,0,1,0
Steel,1539.46,die,medium,48.33,1.98,1,1,0
Steel,1587.65,die,low,33.57,1.83,1,1,0
Steel,1537.82,die,high,44.91,2.85,1,1,0
Steel,1556.88,sand,high,24.18,2.31,1,1,0
Steel,1512.41,ceramic,medium,19.95,2.81,1,1,0
Cast Iron,1332.81,ceramic,medium,45.53,1.05,0,1,1
Aluminum,732.42,sand,low,9.45,1.28,0,1,1
Cast Iron,1183.34,sand,high,10.27,0.68,0,0,0
Aluminum,707.64,ceramic,low,18.47,1.75,1,1,1
Cast Iron,1329.37,die,high,48.19,2.68,0,0,0
Steel,1568.96,die,medium,33.49,1.32,1,1,0
Aluminum,746.26,ceramic,low,29.94,0.82,0,1,1
Aluminum,673.13,die,low,36.74,0.67,0,1,1
Cast Iron,1223.49,sand,high,23.79,1.62,0,0,1
Cast Iron,1251.44,die,high,39.11,0.91,0,1,1
Aluminum,673.27,die,high,22.7,1.37,0,0,1
Cast Iron,1228.81,die,medium,42.19,2.55,1,1,1
Cast Iron,1257.51,ceramic,low,17.03,1.46,1,1,0
Cast Iron,1188.27,sand,high,17.49,2.02,0,0,0
Steel,1488.5,die,medium,28.51,1.76,1,1,0
Steel,1468.73,ceramic,high,24.38,2.3,1,1,0
Cast Iron,1292.68,die,low,34.17,0.89,1,1,0
Cast Iron,1222.31,sand,high,21.39,2.8,1,0,0
Steel,1483.04,die,low,15.37,2.11,1,1,0
Steel,1526.1,sand,medium,26.14,1.18,1,1,0
Aluminum,656.82,die,medium,30.24,0.81,0,0,1
Aluminum,742.34,sand,high,11.42,0.87,0,0,1
Steel,1494.17,die,low,30.05,2.46,1,1,0
Cast Iron,1327.29,sand,low,19.37,1.97,1,1,1
Cast Iron,1249.52,die,low,22.66,1.45,1,1,0
Cast Iron,1320.03,die,high,17.57,1.33,0,0,0
Cast Iron,1199.41,ceramic,low,46.91,2.64,1,1,1
Aluminum,667.53,ceramic,low,35.75,2.69,1,1,1
Steel,1577.41,sand,low,16.81,1.95,1,1,0
Cast Iron,1192.58,die,low,34.03,1.81,1,1,1
Aluminum,724.62,sand,high,43.19,2.54,0,0,1
Cast Iron,1218.92,ceramic,high,23.07,2.37,1,0,1
Steel,1562.23,sand,low,42.35,1.5,1,1,0
Aluminum,740.76,sand,low,11.95,0.71,0,1,1
Steel,1597.25,ceramic,medium,42.03,2.42,1,1,1
Steel,1503.97,die,medium,29.31,0.92,1,1,0
Aluminum,686.75,sand,low,15.03,0.54,0,1,1
Aluminum,748.14,ceramic,low,23.32,2.61,1,1,1
Aluminum,736.15,die,medium,49.46,1.95,0,1,1
Aluminum,654.51,ceramic,medium,40.26,2.73,0,0,1
Aluminum,707.34,sand,low,30.88,1.71,0,1,1
Aluminum,668.12,die,high,10.18,2.82,0,0,0
Aluminum,749.4,die,high,23.8,1.38,0,0,1
Cast Iron,1177.78,ceramic,low,16.84,2.31,1,1,0
Steel,1533.9,ceramic,low,8.2,1.25,1,1,0
Aluminum,716.52,ceramic,medium,29.4,0.5,0,0,1
Cast Iron,1337.41,die,medium,45.01,1.45,0,1,0
Cast Iron,1319.45,die,high,35.4,2.34,1,1,0
Cast Iron,1199.15,sand,low,16.24,0.88,1,1,0
Steel,1535.89,die,medium,30.81,1.76,1,1,0
Aluminum,745.36,sand,high,47.45,1.03,0,0,1
Cast Iron,1297.14,ceramic,high,37.53,0.69,0,1,1
Steel,1553.25,ceramic,high,36.03,2.04,1,1,0
Steel,1563.24,die,medium,48.57,2.88,1,1,0
Steel,1498.38,ceramic,medium,40.95,1.28,1,1,0
Cast Iron,1295.85,ceramic,low,11.15,1.95,1,1,0
Aluminum,673.29,die,low,20.64,2.88,1,1,1
Cast Iron,1235.62,sand,high,48.43,2.13,1,1,1
Cast Iron,1327.99,die,high,27.04,2.18,1,0,0
Aluminum,651.9,sand,medium,10.02,0.95,0,0,1
Aluminum,691.43,die,medium,25.64,1.73,0,0,1
Aluminum,676.68,die,low,36.36,1.42,0,1,1
Steel,1479.79,ceramic,low,49.89,1.68,1,1,1
Aluminum,733.86,die,low,19.58,2.5,1,1,1
Cast Iron,1289.3,die,medium,28.13,1.65,0,1,0
Aluminum,661.26,sand,high,44.59,0.66,0,0,1
Cast Iron,1248.89,ceramic,low,20.99,2.76,1,1,1
Steel,1520.04,sand,low,9.92,1.86,1,1,0
Cast Iron,1178.51,sand,medium,47.7,2.81,1,1,1
Cast Iron,1309.95,ceramic,low,26.98,1.93,1,1,0
Aluminum,686.67,ceramic,high,27.63,0.67,0,0,1
Aluminum,726.19,ceramic,medium,32.95,1.88,0,0,1
Cast Iron,1188.41,die,low,5.16,1.94,1,1,0
Aluminum,681.51,ceramic,low,46.9,1.04,0,1,1
Steel,1464.28,ceramic,medium,21.27,1.68,1,1,0
Steel,1471.52,ceramic,medium,22.86,1.65,1,1,0
Aluminum,738.32,sand,low,12.83,2.06,1,1,1
Steel,1466.37,sand,high,22.02,1.15,0,0,0
Aluminum,659.57,die,medium,41.18,1.95,0,1,1
Cast Iron,1338.08,sand,high,41.0,1.1,0,1,1
Cast Iron,1279.18,die,low,47.11,1.62,1,1,1
Steel,1465.14,sand,high,23.15,0.81,0,1,0
Aluminum,747.17,ceramic,low,36.89,0.59,0,1,1
Aluminum,664.71,sand,low,27.83,1.3,0,1,1
Steel,1564.95,die,low,41.18,1.19,1,1,0
Cast Iron,1156.97,sand,low,37.06,1.52,1,1,1
Steel,1543.68,ceramic,high,21.56,2.9,1,0,0
Cast Iron,1259.34,die,low,20.15,1.81,1,1,0
Aluminum,670.8,ceramic,low,16.36,1.88,0,1,1
Cast Iron,1278.63,ceramic,high,30.94,2.85,1,0,0
Steel,1542.56,die,medium,48.37,2.8,1,1,1
Aluminum,729.84,ceramic,high,14.0,2.71,0,0,1
Steel,1581.38,ceramic,high,9.29,0.74,1,1,0
Steel,1526.52,sand,high,10.37,2.09,1,0,0
Cast Iron,1248.06,ceramic,low,40.24,2.52,1,1,1
Steel,1543.24,ceramic,low,20.75,2.59,1,1,0
Cast Iron,1295.84,ceramic,low,15.1,1.94,1,1,0
Aluminum,685.62,ceramic,medium,20.88,0.54,0,0,1
Cast Iron,1250.93,die,low,34.04,2.93,1,1,0
Aluminum,708.51,sand,medium,29.61,1.68,0,1,1
Cast Iron,1347.68,ceramic,low,38.46,1.48,1,1,1
Steel,1538.16,ceramic,high,20.26,1.49,1,0,0
Cast Iron,1194.84,die,low,25.34,1.56,1,1,0
Cast Iron,1267.6,ceramic,medium,9.59,1.11,1,1,0
Aluminum,731.95,die,medium,8.29,1.32,0,0,0
Steel,1578.61,sand,low,25.8,2.96,1,1,0
Cast Iron,1310.05,sand,high,18.57,1.42,0,0,0
Steel,1583.23,ceramic,low,32.58,1.82,1,1,0
Cast Iron,1216.95,ceramic,low,6.94,2.62,1,1,0
Cast Iron,1251.51,ceramic,low,10.48,1.82,1,1,0
Steel,1566.94,die,high,43.93,1.31,1,1,1
Cast Iron,1202.89,ceramic,medium,30.48,1.81,1,1,1
Steel,1505.74,ceramic,high,37.04,0.79,0,1,1
Cast Iron,1316.23,sand,medium,42.89,0.83,1,1,1
Aluminum,727.01,ceramic,medium,25.87,2.24,1,1,1
Steel,1595.68,sand,medium,39.25,2.79,1,1,1
Cast Iron,1349.19,ceramic,high,28.61,2.31,0,0,0
Cast Iron,1198.15,sand,low,15.02,0.69,1,1,0
Aluminum,740.04,ceramic,low,20.19,1.51,0,1,1
Steel,1464.18,sand,low,27.07,0.51,1,1,0
Cast Iron,1291.96,die,low,19.26,1.78,1,1,0
Aluminum,672.01,sand,low,20.1,0.98,0,1,1
Cast Iron,1210.06,sand,high,20.18,2.67,1,0,0
Steel,1591.95,sand,high,10.53,0.76,0,0,0
Cast Iron,1202.63,ceramic,high,8.81,0.5,0,0,0
Cast Iron,1284.64,ceramic,high,7.09,1.63,0,0,0
Cast Iron,1185.63,ceramic,high,9.99,0.89,0,0,0
Cast Iron,1168.68,die,high,20.47,2.34,0,0,0
Aluminum,683.93,die,high,31.72,2.8,0,0,1
Aluminum,712.42,sand,low,13.47,0.6,0,1,1
Steel,1487.19,die,medium,44.96,1.49,1,1,1
Aluminum,680.02,sand,high,41.38,2.99,0,0,1
Aluminum,720.87,sand,medium,28.42,2.33,0,0,1
Steel,1465.42,sand,high,37.59,2.88,1,1,1
Aluminum,694.69,die,high,21.48,0.91,0,0,1
Aluminum,744.17,ceramic,low,6.66,1.05,0,1,1
Steel,1509.55,die,medium,45.69,0.89,0,1,0
Steel,1515.13,sand,low,10.75,1.26,1,1,0
Steel,1560.73,sand,low,47.66,2.31,1,1,1
Cast Iron,1305.8,die,medium,30.73,0.91,0,1,0
Cast Iron,1303.92,sand,low,18.75,1.81,1,1,0
Steel,1599.68,sand,high,27.3,1.17,1,1,0
Steel,1460.72,die,high,27.57,2.57,1,0,0
Steel,1597.34,die,high,6.05,0.52,0,0,0
Cast Iron,1340.04,die,high,21.0,1.06,0,1,0
Cast Iron,1320.43,sand,high,38.29,2.01,0,0,1
Aluminum,695.41,sand,low,27.95,0.74,0,1,1
Aluminum,737.09,ceramic,low,15.99,1.67,0,1,1
Steel,1483.12,ceramic,high,20.08,1.59,0,0,0
Cast Iron,1308.33,die,high,43.84,2.63,1,1,1
Cast Iron,1187.05,ceramic,low,28.65,2.06,1,1,1
Cast Iron,1313.07,sand,medium,28.78,2.1,1,1,1
Steel,1542.18,ceramic,low,48.27,2.88,1,1,1
Aluminum,659.8,sand,low,19.44,2.96,1,1,1
Steel,1584.3,die,low,26.58,2.13,1,1,0
Aluminum,707.8,die,low,41.53,1.81,1,1,1
Aluminum,715.62,sand,low,39.15,2.02,0,1,1
Steel,1492.53,ceramic,medium,16.96,1.46,1,1,0
Aluminum,737.16,die,high,11.8,2.97,0,0,1
Aluminum,704.52,die,high,36.53,2.26,0,0,1
Cast Iron,1234.22,ceramic,medium,16.59,1.23,0,0,0
Aluminum,703.43,ceramic,high,46.52,0.64,0,0,1
Steel,1555.5,sand,high,10.82,0.61,0,0,0
Steel,1554.26,ceramic,high,19.32,1.01,0,0,0
Aluminum,685.76,ceramic,medium,7.47,1.08,0,0,1
Cast Iron,1227.05,ceramic,medium,36.65,1.54,1,1,1
Cast Iron,1262.45,sand,high,45.11,1.04,0,0,1
Aluminum,742.44,sand,high,33.61,2.08,0,0,1
Aluminum,724.54,die,high,47.2,1.03,0,0,1
Steel,1508.56,sand,low,10.78,0.97,1,1,0
Aluminum,683.7,die,low,8.95,1.68,0,1,0
Cast Iron,1254.73,ceramic,low,42.73,2.72,1,1,1
Aluminum,737.0,die,medium,43.5,1.67,0,1,1
Steel,1451.3,die,high,42.4,1.53,0,1,0
Steel,1556.57,ceramic,medium,40.95,1.95,1,1,0
Steel,1494.18,die,medium,21.3,1.14,1,1,0
Steel,1481.26,sand,medium,14.79,1.38,1,1,0
Steel,1451.82,sand,high,46.8,1.03,0,1,1
Aluminum,739.66,sand,low,18.82,1.93,1,1,1
Aluminum,741.22,sand,high,22.93,2.24,0,0,1
Aluminum,656.14,die,high,36.48,2.18,0,0,1
Aluminum,702.18,die,medium,18.2,1.14,0,0,1
Steel,1472.89,ceramic,medium,41.86,2.45,1,1,1
Cast Iron,1301.74,die,medium,8.15,1.14,0,0,0
Aluminum,716.54,die,low,40.6,0.88,0,1,1
Cast Iron,1209.43,die,low,32.08,1.37,1,1,0
Aluminum,661.7,ceramic,low,30.78,1.99,0,1,1
Aluminum,733.12,sand,high,25.63,0.86,0,0,1
Cast Iron,1284.85,die,medium,17.47,2.12,1,1,0
Steel,1451.02,ceramic,high,25.88,2.66,1,1,0
Aluminum,712.79,ceramic,low,25.25,1.23,0,1,1
Aluminum,731.03,ceramic,medium,31.27,1.63,0,0,1
Aluminum,709.08,sand,low,17.67,1.07,0,1,1
Cast Iron,1234.94,die,medium,8.49,1.4,0,0,0
Steel,1537.59,ceramic,medium,11.53,0.55,0,1,0
Cast Iron,1273.94,sand,high,36.46,2.88,1,0,1
Cast Iron,1278.01,ceramic,high,6.01,1.54,0,0,0
Steel,1595.06,ceramic,low,43.54,2.47,1,1,1
Cast Iron,1185.73,ceramic,high,36.25,0.86,0,0,1
Steel,1543.46,ceramic,high,39.56,2.53,1,1,1
